,y
0,3.877721480163924
1,5.215033184623574
2,7.922608815274318
3,0.5189387184739047
4,6.500894215684628
5,12.710916180250791
6,8.546206170592331
7,5.360218034502485
8,12.035096315461793
9,8.084514390228572
10,16.63292968108479
11,8.10233274100338
12,9.981152845528324
13,8.474264667344713
14,12.10523516969521
15,9.413300082779674
16,8.930766749639254
17,15.526175460245755
18,21.25196693796261
19,12.36865035239544
20,12.542314527957561
21,19.481057485844286
22,14.238025676137415
23,12.899562987289743
24,14.016998120348298
25,13.739461665491923
26,17.036141721714085
27,14.390224889361003
28,16.897998046709247
29,12.64763380570733
30,23.762356350499765
31,20.25384386759638
32,23.891358338131955
33,27.064997787022772
34,19.4590124278837
35,28.479354181002925
36,23.85610053647822
37,25.06286022088283
38,19.215323761919933
39,24.611570924918045
40,27.689623133556815
41,29.16289629536831
42,29.25082178453485
43,29.563018383090718
44,28.660923989048488
45,28.86907142288754
46,28.22314213746804
47,34.39732408194268
48,31.90307377990361
49,32.61742141835695
50,29.24574796008738
51,31.348800910905005
52,34.10702384614476
53,30.572074316539823
54,34.68027964353552
55,35.18673767310821
56,35.59214703782361
57,35.84305438349532
58,36.03060189440367
59,32.72647132624848
60,31.04888468594271
61,33.9181824405422
62,40.04817502938455
63,35.705976426744016
64,30.421593886759872
65,40.08057578405334
66,33.95801581771969
67,40.835385679196015
68,43.50821409686535
69,39.74042794379274
70,42.73856297670253
71,42.266828244193995
72,40.9080398205726
73,37.92322309897664
74,40.943452982648495
75,43.91027567794416
76,41.19996772845621
77,42.81485080897364
78,43.83983212850701
79,39.559761889991606
80,46.64807355216904
81,43.4843172632776
82,40.63989037441766
83,44.764001305365795
84,45.479323212649575
85,44.03070783571161
86,51.84902505474127
87,49.103948904342474
88,49.66764553989949
89,48.11981466317664
90,50.339844052393914
91,50.22548246407897
92,54.99376719553577
93,52.17552217759341
94,51.11982354829607
95,53.985130944499765
96,49.19485458822939
97,49.00661786520714
98,54.553908876778976
99,55.73023735089006
100,53.68852223138191
101,56.43511643882709
102,50.694149109025126
103,61.40582670666342
104,55.778185677800366
105,59.59496867759397
106,62.954831150317844
107,59.57750609106753
108,53.19935607867888
109,58.72186970821979
110,51.187905070193054
111,62.751997965850364
112,58.39364024666048
113,60.92268940377501
114,61.69673690453776
115,63.04205861168224
116,64.44567745857442
117,70.32504396431558
118,61.73794467378221
119,66.39414540326743
