,y
0,-0.9992411625626958
1,-1.6128733332259169
2,-0.9496426791934421
3,-0.696292170411738
4,0.0279617113637458
5,-0.01831710523157127
6,0.13667194756742845
7,3.1221703257263123
8,1.7850534069879627
9,-0.006160636868550652
10,-1.5026668978265536
11,0.26417605326766413
12,-0.848244315111038
13,-1.4934850339980343
14,-1.4255605802958624
15,0.08941039768149667
16,1.0934424146855348
17,0.5130095493255414
18,0.8414969892696257
19,2.4177740833550176
20,2.597976910089867
21,1.34401216090525
22,2.008039185134571
23,0.6987603937102269
24,-0.2528340704673704
25,-0.005574747630679923
26,0.050702455951924116
27,-0.14725682720699484
28,1.0311730830206052
29,2.7152336317442547
30,2.923149236477412
31,1.1381787362056042
32,0.29479728817255646
33,0.9969778815154782
34,1.840666679794148
35,1.1077793839618444
36,1.029395756249053
37,1.8587512961074009
38,2.166583431351206
39,2.6998999137601447
40,0.9422634832748222
41,1.7175052049582291
42,1.2908750458728553
43,1.3886026779193552
44,1.5362918525513465
45,0.2510539391155624
46,-1.6773798316412887
47,-1.6132284964955705
48,-0.0897316685613831
49,-0.3266954915025027
50,-0.8245701696916741
51,-2.5436246401321108
52,-2.686696084667251
53,-2.0592670247908944
54,-1.8866149816745508
55,-3.4628164227140497
56,-2.5184367899645204
57,-1.802013816667757
58,-0.41732077068970774
59,1.72463631802735
60,0.9016359874881431
61,-0.11199445739871156
62,1.8262237948998425
63,1.1711252150585942
64,0.4479633977908987
65,-1.3353922175500974
66,-1.1945056310197921
67,1.7133691593028997
68,0.7578879537594401
69,0.3740390102696338
70,-1.000023077104173
71,-3.021151235466908
72,-3.0537636868269074
73,-0.8344868578634874
74,-0.07641419866269883
75,0.5773601451519375
76,1.0570744667095906
77,0.10668024863038901
78,-3.2650925893926304
79,-4.024529633340476
80,-3.1131748918246855
81,-1.6227611510755116
82,-0.11448649610288478
83,0.8772553620363593
84,0.6356879757938365
85,0.11401684000940325
86,-0.7131302309180687
87,-0.6010484346003091
88,-1.1885374967348854
89,-1.7200751650017554
90,-2.5306950847367045
91,-0.6044702284053949
92,1.505936280808715
93,1.48389253155919
94,-0.252780007393042
95,-2.4175631842665064
96,-1.7256117909769555
97,-0.6154774127616642
98,1.4806403827600154
99,3.082748197476098
100,2.7146206598896607
101,1.3415951455489188
102,1.6238702376566345
103,2.444987751099954
104,0.1615045595834617
105,0.21449218100356673
106,0.7240228188648353
107,-0.2853259352114728
108,0.2830707624091234
109,0.5455926070763301
110,0.7550560413224555
111,2.0740042611752725
112,0.5382689790495836
113,-1.8597419637884312
114,-2.136191233624013
115,-1.8983569684424764
116,-0.5140263289299338
117,0.8566541123812133
118,1.0617768872398823
119,-0.46913324075657226
